24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 17:30:07 | GET | cafeteria-api/categorias
31-03-2026 18:34:39 | OPTIONS | cafeteria-api/categorias/26
31-03-2026 18:34:39 | DELETE | cafeteria-api/categorias/26
31-03-2026 18:34:39 | GET | cafeteria-api/categorias
31-03-2026 18:34:40 | OPTIONS | cafeteria-api/categorias/27
31-03-2026 18:34:40 | DELETE | cafeteria-api/categorias/27
31-03-2026 18:34:40 | GET | cafeteria-api/categorias
31-03-2026 18:35:26 | POST | cafeteria-api/categorias
31-03-2026 18:35:26 | GET | cafeteria-api/categorias
31-03-2026 18:37:33 | OPTIONS | cafeteria-api/categorias/28
31-03-2026 18:37:33 | DELETE | cafeteria-api/categorias/28
31-03-2026 18:37:33 | GET | cafeteria-api/categorias
31-03-2026 18:37:44 | POST | cafeteria-api/categorias
31-03-2026 18:37:44 | GET | cafeteria-api/categorias
31-03-2026 18:37:49 | OPTIONS | cafeteria-api/categorias/29
31-03-2026 18:37:49 | DELETE | cafeteria-api/categorias/29
31-03-2026 18:37:49 | GET | cafeteria-api/categorias
31-03-2026 18:43:18 | GET | cafeteria-api/categorias
31-03-2026 18:46:20 | POST | cafeteria-api/categorias
31-03-2026 18:46:20 | GET | cafeteria-api/categorias
31-03-2026 18:47:01 | OPTIONS | cafeteria-api/categorias/1
31-03-2026 18:47:02 | DELETE | cafeteria-api/categorias/1
31-03-2026 18:47:02 | GET | cafeteria-api/categorias
31-03-2026 18:47:10 | POST | cafeteria-api/categorias
31-03-2026 18:47:12 | GET | cafeteria-api/categorias
31-03-2026 18:47:14 | OPTIONS | cafeteria-api/categorias/2
31-03-2026 18:47:14 | DELETE | cafeteria-api/categorias/2
31-03-2026 18:47:14 | GET | cafeteria-api/categorias
31-03-2026 18:47:35 | GET | cafeteria-api/categorias
31-03-2026 19:38:53 | GET | cafeteria-api/categorias
31-03-2026 19:39:03 | GET | cafeteria-api/categorias
31-03-2026 19:39:17 | GET | cafeteria-api/categorias
31-03-2026 19:40:20 | GET | cafeteria-api/categorias
31-03-2026 19:40:42 | GET | cafeteria-api/categorias
31-03-2026 19:40:45 | GET | cafeteria-api/categorias
31-03-2026 19:43:55 | GET | cafeteria-api/categorias
31-03-2026 19:54:31 | GET | cafeteria-api/produtos
31-03-2026 19:54:34 | GET | cafeteria-api/categorias
31-03-2026 19:54:36 | GET | cafeteria-api/categorias
31-03-2026 19:56:15 | GET | cafeteria-api/categorias
31-03-2026 19:56:20 | GET | cafeteria-api/produtos
31-03-2026 19:56:52 | GET | cafeteria-api/categorias
31-03-2026 20:00:25 | GET | cafeteria-api/produtos
31-03-2026 20:01:13 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:01:13 | POST | cafeteria-api/produtos
31-03-2026 20:01:13 | GET | cafeteria-api/produtos
31-03-2026 20:02:23 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:02:23 | POST | cafeteria-api/produtos
31-03-2026 20:02:23 | GET | cafeteria-api/produtos
31-03-2026 20:02:59 | GET | cafeteria-api/categorias
31-03-2026 20:03:06 | GET | cafeteria-api/produtos
31-03-2026 20:03:09 | GET | cafeteria-api/categorias
31-03-2026 20:03:10 | GET | cafeteria-api/produtos
31-03-2026 20:03:37 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:03:37 | POST | cafeteria-api/produtos
31-03-2026 20:03:37 | GET | cafeteria-api/produtos
31-03-2026 20:06:20 | GET | cafeteria-api/categorias
31-03-2026 20:09:07 | GET | cafeteria-api/produtos
31-03-2026 20:09:47 | GET | cafeteria-api/produtos
31-03-2026 20:09:47 | GET | cafeteria-api/categorias
31-03-2026 20:10:03 | GET | cafeteria-api/produtos
31-03-2026 20:11:43 | GET | cafeteria-api/produtos
31-03-2026 20:12:19 | GET | cafeteria-api/categorias
31-03-2026 20:12:22 | GET | cafeteria-api/produtos
31-03-2026 20:13:24 | GET | cafeteria-api/produtos
31-03-2026 20:13:30 | GET | cafeteria-api/categorias
31-03-2026 20:13:32 | GET | cafeteria-api/produtos
31-03-2026 20:13:33 | GET | cafeteria-api/categorias
31-03-2026 20:13:35 | GET | cafeteria-api/produtos
31-03-2026 20:13:38 | GET | cafeteria-api/categorias
31-03-2026 20:13:40 | GET | cafeteria-api/produtos
31-03-2026 20:14:00 | GET | cafeteria-api/produtos
31-03-2026 20:14:52 | GET | cafeteria-api/categorias
31-03-2026 20:15:10 | POST | cafeteria-api/categorias
31-03-2026 20:15:10 | GET | cafeteria-api/categorias
31-03-2026 20:15:14 | GET | cafeteria-api/produtos
31-03-2026 20:15:52 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:15:52 | POST | cafeteria-api/produtos
31-03-2026 20:15:52 | GET | cafeteria-api/produtos
31-03-2026 20:22:21 | GET | cafeteria-api/produtos
31-03-2026 20:48:31 | GET | cafeteria-api/produtos
31-03-2026 20:48:48 | GET | cafeteria-api/produtos
31-03-2026 20:49:18 | GET | cafeteria-api/produtos
31-03-2026 20:49:18 | GET | cafeteria-api/produtos
31-03-2026 20:49:48 | GET | cafeteria-api/produtos
31-03-2026 20:50:16 | GET | cafeteria-api/produtos
31-03-2026 20:50:29 | GET | cafeteria-api/produtos
31-03-2026 20:50:30 | GET | cafeteria-api/produtos
31-03-2026 20:50:40 | GET | cafeteria-api/produtos
31-03-2026 20:50:40 | GET | cafeteria-api/produtos
31-03-2026 20:50:45 | GET | cafeteria-api/categorias
31-03-2026 20:50:50 | GET | cafeteria-api/produtos
31-03-2026 20:51:19 | GET | cafeteria-api/categorias
31-03-2026 20:51:41 | GET | cafeteria-api/categorias
31-03-2026 20:51:57 | POST | cafeteria-api/categorias
31-03-2026 20:51:57 | GET | cafeteria-api/categorias
31-03-2026 20:52:01 | GET | cafeteria-api/produtos
31-03-2026 20:52:14 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:52:14 | POST | cafeteria-api/produtos
31-03-2026 20:52:14 | GET | cafeteria-api/produtos
31-03-2026 20:52:41 | OPTIONS | cafeteria-api/produtos/7
31-03-2026 20:52:41 | DELETE | cafeteria-api/produtos/7
31-03-2026 20:52:41 | GET | cafeteria-api/produtos
07-04-2026 16:17:35 | GET | cafeteria-api/produtos
07-04-2026 16:17:37 | GET | cafeteria-api/categorias
07-04-2026 16:17:50 | GET | cafeteria-api/categorias
